Column1;Column2;Column3;Column4;Column5
Mundo;Renda nacional;p90p100;2000;688935
Mundo;Renda nacional;p90p100;2001;686285
Mundo;Renda nacional;p90p100;2002;685650
Mundo;Renda nacional;p90p100;2003;695801
Mundo;Renda nacional;p90p100;2004;720654
Mundo;Renda nacional;p90p100;2005;740113
Mundo;Renda nacional;p90p100;2006;767089
Mundo;Renda nacional;p90p100;2007;781575
Mundo;Renda nacional;p90p100;2008;782261
Mundo;Renda nacional;p90p100;2009;746546
Mundo;Renda nacional;p90p100;2010;769507
Mundo;Renda nacional;p90p100;2011;790186
Mundo;Renda nacional;p90p100;2012;795467
Mundo;Renda nacional;p90p100;2013;807943
Mundo;Renda nacional;p90p100;2014;821497
Mundo;Renda nacional;p90p100;2015;832667
Mundo;Renda nacional;p90p100;2016;840406
Mundo;Renda nacional;p90p100;2017;854320
Mundo;Renda nacional;p90p100;2018;869083
Mundo;Renda nacional;p90p100;2019;871405
